Firstnames,Lastnames,Fathername,Mothername,Gender
KAFFAR 191,CALAR 2592,AVNI 14873,HAVVAANA 369,M
SEMRIYE 127,TUNABOYLU 611,ETEM 7728,HILAL 33780,F
SUNGUR 249,ERDURAN 3003,KADIR 138257,NEZETE 472,M
SEREN 163,GEVREK 2350,ERSOY 5624,ZULEYHAN 318,M
KADIR 138265,YAVUZ 139549,NEBIL 1073,CEMILE 123480,M
MAZLUM 3357,DERIN 11384,MERTER 384,KATIBE 4323,M
DILRUBA 408,DULGEROGLU 907,ISHAK 10059,ZEYCAN 5374,F
UYSAL 1069,ULUS 6712,YASAR 161295,SAIBE 1667,M
HAYAT 254,BAGLAN 3024,MUSTAFA 991402,NERIME 482,M
ANTIKE 315,ILI 839,KIYASETTIN 2750,BAGDAGUL 2120,F
URKUS 1300,YILDIZER 1173,CELIL 10677,NAZIF 121,F
ZOZAN 3409,BALDAN 1344,AGAH 1373,LALA 145,F
M.SERIF 200,TOKATLI 2668,ILHAMI 19070,NASIP 385,M
ABDULMENAF 2185,BOZDOGAN 9255,MUHACIR 325,NUKET 2966,M
BERTAL 130,MELEK 2074,ABDULHADI 2235,NURCAY 267,M
BINAZ 230,ZENGER 758,OKAN 26164,GULDENIZ 978,F
BASOL 101,ISIKLAR 1759,ILKER 32384,ZULUHA 212,M
FEVZULLAH 448,CAGLI 4327,ALPARSLAN 5632,SUMRU 841,M
CEYLA 280,ARABUL 813,AGIT 1513,BILSEN 1555,F
GURCAN 2196,ADLIG 1273,ERHAN 63715,ERGIN 135,F
BEHSAT 588,BALCIOGLU 5026,MITHAT 13198,HAMIDIYE 1057,M
SULEYMAN 214214,ASLAN 208160,LEZGIN 1107,AYSEL 154643,M
ECEHAN 255,DELER 787,BEKIR 100567,KONCA 1222,F
SITTO 125,ABES 605,BEDRETTIN 6211,HUSNE 25167,F
NECAT 182,KITIR 695,KURSAD 3012,HASKAR 570,F
NURBANU 538,DIN 968,ILHAN 60225,ZULFIYE 18396,F
GARIBI 161,OZGUNES 666,SELAHETTIN 1382,NURIYE 75494,F
DERMAN 268,COMEZ 3169,LUTFULLAH 1296,PAYAM 514,M
SEYDANUR 130,OKUZCU 616,ISHAK 10059,NURGUL 45643,F
OLGA 659,OKER 1009,OZGEN 1368,ARIFE 55260,F
SAHIZE 1012,DOGUS 1106,SIRRI 4522,MERDIN 113,F
YESER 178,ANBAR 688,MUFIT 2636,SEVI 547,F
SERINI 106,BALPETEK 563,SANI 1325,NESIBE 19037,F
SAMILE 409,ANGI 907,DERVIS 10118,SATU 5382,F
ABDUSSAMED 260,KARACALI 3081,ALISEYDI 1194,GULENAZ 495,M
ALISEYDI 1194,ALKIS 7104,ISFENDIYAR 261,SUSAN 1861,M
UMMIYE 3220,OFLUOGLU 1335,HAYREDDIN 1328,FERUZA 144,F
ALISEN 285,PETEK 3278,EDIZ 1458,FEYRUZE 550,M
SAFA 318,BURULDAY 843,NESAT 2883,SIFA 2240,F
AKLIME 1038,KUTLAR 1112,ZUBEYIR 4921,ISTEM 114,F
BENZIGUL 210,CUVALCI 734,TUFAN 10152,SAHIME 789,F
ENSARI 932,CANSIZ 6292,KAMIL 64091,AYSA 1515,M
FUSUN 8351,AKTOPRAK 1457,SIRAC 3175,CECANI 165,F
NEJDAT 410,ARSLANTURK 4093,GORKEM 4145,MUCAHIDE 772,M
IRFANIYE 324,BITKIN 849,HALDUN 3030,KERZIBAN 2381,F
MIRAZ 100,DILAVER 1748,RESUL 29213,AYNIYE 209,M
RAMADAN 4890,CABUK 13385,CENKER 433,CIHAN 6288,M
NURSEVEN 562,BARS 977,SINAN 82140,AYLIN 21647,F
HASBIKE 127,DOGANLAR 611,TUGRUL 8024,HASIBE 34569,F
SADIMAN 1748,CALKAN 1232,MUHITTIN 28747,MEVLANE 129,F
NEZIH 2552,SURUCU 10012,HICRET 345,AFET 3334,M
ESE 16595,BAYTOK 1543,ISRAFIL 5586,NEDA 180,F
SEYHDAVUT 593,AFACAN 5035,ESAT 13709,VELIYE 1069,M
MELDA 3688,GURAL 1352,ARAFAT 1441,HAVILI 147,F
MACIT 2609,DALKILIC 10098,BENAN 347,AYSIN 3413,M
ZAYIM 121,KALYON 1961,CUMAALI 1405,CUMA 246,M
MELESI 173,KAYKAC 682,BASAR 2203,MUYESER 512,F
FAKI 562,BOLUKBAS 4904,SITKI 11278,BESSI 1026,M
VEHPI 221,GOZCU 2800,OKTAY 38126,SEDIKA 422,M
AFFE 121,YANAK 599,SULTAN 4578,ADALET 17283,F
AYVAZ 1673,TASPINAR 8462,ZULKAR 300,SEFIYE 2476,M
MENCE 267,SORKUN 799,HALILIBRAHIM 1243,ANIS 1383,F
GULSAFA 130,BASARSLAN 617,FEYZI 10686,NAZIFE 50138,F
NECMITTIN 730,ALTINAY 5541,NAZIM 27470,OZGUN 1236,M
GULESER 10255,GOKBUDAK 1482,MAHSUM 3736,HAMRI 170,F
HADRA 1246,BURUK 1165,AYTAC 9437,SIGNEM 120,F
ZENNUBE 343,TURKUCU 865,TAHA 3807,HAFIZA 2792,F
SENYURT 103,GOKSOY 1782,YALCIN 38481,GULRU 215,M
HACICE 1767,MILLI 1235,KASIM 30001,BIRIM 129,F
YEMLIHA 1028,BOGA 6632,AYHAN 99641,OZGEN 1626,M
DIDEM 18424,TEKMEN 1552,ZULKUF 6146,YASAM 182,F
ABDUL 3932,BOSTAN 12139,EVLIYA 401,KERIMAN 5146,M
MURSIT 113,HENDEK 579,BEDIRHAN 2390,FERIDE 62987,F
AYZER 105,TOPCAN 563,LUTFULLAH 1296,FEVZIYE 18593,F
INAN 119,BEYKOZ 592,ASIR 3746,GULSUN 13415,F
SEZAI 19389,YESIL 30070,NEVZET 655,SULE 22209,M
ABDULVAHAP 7884,ULU 16659,SINO 501,ECE 9588,M
FERYAN 127,CATALCAM 611,BEKTAS 8059,NURSEN 34943,F
SIRET 101,KAMBUR 1751,SAKIR 30679,MENEFSE 210,M
KANCO 133,KOCAR 2097,OZGUN 2446,KUDURET 271,M
HACIMEHMET 124,EMANET 2000,KUDDUSI 1688,SAMIA 256,M
SEMRAN 720,KOCAMANOGLU 1031,BEYAZIT 1802,BERADIYE 102,F
TEMIR 369,OCALAN 3781,MELIK 3026,HANIME 697,M
AHMET 832584,SAHIN 406700,MAHSUN 1130,HATICE 687371,M
RAZIYE 45362,OZTURKMEN 1658,NAIM 13178,YASARGUL 196,F
BERIVAN 3756,SAYLIK 1355,ULKU 1490,LADIFE 148,F
HULYA 171124,KOLSUZ 1738,SEBAHATTIN 27212,VETHAN 208,F
CAMIA 128,HAYMANA 613,TACETTIN 9009,SELDA 40607,F
MUKADDIS 389,HARPUTLU 896,NESET 7508,FAZILE 4344,F
SULTANE 1227,SAHBUDAK 1162,NECAT 9029,FERIYA 119,F
SELIM 151,KIRIKTAS 652,MUSA 95975,SINEM 30349,F
HELIME 1628,MARAZ 1218,HALIS 23149,GERDAN 127,F
RUBASA 125,UZDILLI 606,SEYFULLAH 6305,ESME 25261,F
IGDE 157,LEVENTOGLU 660,HALILIBRAHIM 1243,ZAHIDE 50371,F
SEVGISER 127,YENICELI 611,GOKMEN 7665,NAIME 33387,F
SEVAY 225,AKYIGIT 750,CANER 18570,MAYA 916,F
DILAVER 317,ARSLANBOGA 842,TALHA 2861,ZULFINAZ 2227,F
YAFES 481,ERKUS 4458,ASKIN 7074,SAHIKA 896,M
HEZAL 156,URSAVAS 659,FERDA 1208,NURGUL 45643,F
VASFETTIN 127,SIR 2027,REMEZAN 1859,MERAY 260,M
NEYYIRE 101,KAMILCELEBI 551,YUNUS 78654,HAZAL 10394,F
GUNAYDIN 615,SUNAR 5168,ABIDIN 16361,SEYCAN 1112,M
SAMIME 1167,YAVASOGLU 1149,CEBRAIL 7322,BAYRAMSAH 117,F
CURIYE 256,ALINAK 789,METIN 154711,OZGUN 1236,F
EMREHAN 192,ACIKBAS 2605,HALUK 15709,NARHANIM 371,M
INCIHAN 113,YAVUZOGLU 580,ABDULHALIK 2414,RABIA 64530,F
GULSEVEN 2471,YENICI 1293,UGUR 103664,HAVAS 138,F
DOGU 724,AKGOZ 5531,BIROL 26562,ZATIYE 1232,M
ASENA 1132,GULSER 1140,MEMDUH 6664,BINNIYE 116,F
BAHREM 193,DUMLUPINAR 2621,GAZI 16275,SELAHA 374,M
SIT 255,AKTI 3030,EFRAIM 1146,SERVI 487,M
ISTEM 114,AYDONER 581,NEZIH 2552,NECLA 72706,F
DILNEVAZ 104,DURKAN 559,BAHITTIN 1218,MURUVVET 16230,F
MUNZUR 347,KILCI 3651,MACIT 2609,SEVGIL 661,M
FERFURE 107,KARAATAY 568,SAKIP 1437,NECMIYE 24711,F
BARTU 151,GULSEREN 2265,IKRAM 4144,MEYSE 302,M
KAMBER 2519,TOY 9852,DEGER 342,SEFA 3261,M
FATMAGUL 3702,KARACADAG 1353,ALIHAN 1454,GULSEDA 147,F
NAZGUL 477,KONDAKCI 945,OKAN 26164,EYLEM 10604,F
AHMET 832581,SAHIN 406697,MAHSUN 1127,HATICE 687368,M
ZERRIN 13516,ACARTURK 1513,TUNA 4599,HALIDIYE 175,F
MUKTAT 102,YUZGEC 1768,TANER 35377,SAMAMA 213,M
GEZAL 356,TOSYALI 874,SAH 4689,SAZIMET 3214,F
NEVRUZ 595,ACET 5047,SEMSETTIN 13821,RUKKIYE 1073,M
ISIL 9253,BALAT 1468,OZDEN 3366,RISKIYE 168,F
FIDASE 335,BINBIR 858,MEHMETALI 3392,SAHIBE 2587,F
SUSENBER 395,OZKILINC 899,OMUR 8198,MUCELLA 4583,F
KAAN 11190,ARIK 20752,ESIN 560,BIRCAN 13508,M
FEYZETTIN 139,BAGRIACIK 2150,KURSAD 3012,ZULALE 282,M
NEZAHAT 35086,ALCICEK 1630,SEYFI 10592,SEVLA 192,F
GULBEYAN 204,GUNGUR 726,ETEM 7728,MEVLIYE 741,F
LAIKA 162,UCE 667,ASKERI 1400,GULER 79810,F
ALETTIN 882,SAYDAM 6149,DURMUS 51867,NEBIHE 1446,M
ATMAN 180,SAMLI 2506,BESIR 10335,ZEKAVET 351,M
BARLAS 342,KIZILASLAN 3618,DOGUKAN 2526,NILHAN 652,M
ASU 458,YEREBAKAN 936,CANER 18570,GULFIDAN 8623,F
BESBINE 209,CORUMLU 732,EDIP 9586,SULEYHA 780,F
FERDUN 455,ATILA 4339,ALP 5827,SUEDA 846,M
SEVER 528,KOPAL 966,SADIK 51749,DURDU 16604,F
SAHAR 890,OYAN 1074,ENSAR 3243,SABINA 109,F
HIKMET 20450,GOKBEL 1570,ULAS 6968,SEZCAN 185,F
BERKE 252,GURSU 3019,MURAT 440120,IMMEHAN 479,M
IMHAN 1511,BALIM 1198,EREN 16695,UNSEL 125,F
ABDULMUHSIN 146,ODEN 2218,CESIM 3634,FIRDEVSI 294,M
OLENA 169,KEBELI 677,NAZIR 1877,HANZADE 491,F
DILEK 149858,AKARCA 1734,CUNEYT 25657,NABIYE 207,F
BEYCAN 465,AYTAR 4375,SEYFULLAH 6305,GULAFER 866,M
FEZA 277,ANAR 3216,HAKI 1379,TURCAN 532,M
MEKSUT 122,TOPDEMIR 1984,REIS 1522,SECGIN 250,M
GUZIN 5724,KASIK 1414,KURBAN 2352,MERESE 158,F
FERIYE 630,ONCE 1000,SADUN 1258,DENIZ 43779,F
IBRAHIM 500366,YILDIRIM 387092,MUHTAR 1126,ELIF 216269,M
RENDI 135,OVEC 626,CEMALETTIN 16487,SUKRAN 96744,F
ERDUN 134,SIRMA 2109,FERMAN 2552,PIROZ 274,M
CEYRAN 625,KOPAR 999,SULHATTIN 1251,MINE 41674,F
ATIF 3319,EMRE 11323,ERDENIZ 382,YUCEL 4249,M
MUCAYIT 172,SOMUNCU 2422,RAHIM 7307,DOLUNAY 331,M
SAIR 102,BALIN 1765,SALIM 35153,VIKTORYA 213,M
SANSER 127,AKICI 2030,ORAL 1874,BIRKAN 260,M
ZUHAL 31827,ALTURK 1617,IZZETTIN 9724,MINEL 191,F
YAMIN 139,ASKER 2144,NASIR 2953,SURET 280,M
ILKEM 202,KARAMIK 724,BATTAL 6939,SEHAR 722,F
LEVIZE 139,TUGA 633,NACI 25320,BEHICE 12716,F
SEMAYE 151,MERCANOGLU 652,CEMAL 95670,DEMET 30195,F
DURKADIN 9690,GURAN 1472,MIKDAT 3508,TEKLIFE 169,F
EVA 107,KAPSIZ 568,RIZVAN 1437,NAZIRE 24714,F
KUBRANUR 116,NAK 587,KIVANC 3048,HULYA 171124,F
URFET 375,ACIL 3812,NASUH 3170,AGGUL 702,M
MAHPARE 164,YETEN 670,REIS 1522,KADRIYE 120624,F
ZERUK 178,CAGALA 688,MACIT 2609,AYSEM 545,F
ALYE 1001,YABAS 1104,OZDEMIR 4276,SUDET 113,F
ZEREN 438,KARAUZUM 924,HALIM 15087,MURUVET 7116,F
MIRHAN 209,GOGEBAKAN 2733,BIROL 26562,DURDUNAZ 400,M
MUNASIP 236,DURUCAN 764,IZZET 34903,HURMET 1033,F
MEKKI 255,ALMAZ 3031,NAKI 1154,FATTUM 487,M
IMOS 435,YOLLU 923,CAVIT 14509,SEVDIYE 6953,F
SERPIL 96392,GELDI 1716,CEVAT 21293,GULBARI 204,F
RAHMA 507,BITMEZ 959,CUMA 39999,GULBEYAZ 14537,F
MEHMET 1681878,YILMAZ 712780,UMUR 1140,FATMA 1228301,M
TOPCU 263,ZAFER 3097,KARANI 1217,MUHUBE 498,M
NAKIP 104,AYVA 1801,SAIT 46511,BEDRI 216,M
ARABI 310,SARE 836,DOGUKAN 2526,ZUMRETE 2037,F
HAKIM 3370,KARAARSLAN 11449,MUTI 386,NEZIRE 4363,M
TUNTUL 138,DOSLU 630,SEFER 20783,EDIBE 10720,F
AYFER 64485,AYMAZ 1687,EREN 16695,HADIKA 200,F
AGGUL 702,GUZELER 1024,UYGAR 1613,ERSEL 101,F
MURUVET 7116,ACUR 1441,BIRCAN 2863,SEYMAN 163,F
BESTI 414,DEMEZ 912,NUH 10944,KAMURAN 5739,F
HUKMIYE 285,KARATAG 817,KERAMETTIN 1625,OMRUYE 1609,F
SAZIMENT 419,ONGUR 915,YILDIRIM 11388,FERHAN 5934,F
YILDA 110,CANAL 573,KADER 1788,AZIZE 35276,F
IMMAHAN 362,KUCUKDEMIR 876,MUHTEREM 5027,FELEK 3387,F
SELMIYE 258,KANBAY 790,MAHMUT 168177,ZERNISAN 1244,F
GULDESTE 1362,ATILKAN 1180,CAGLAR 12009,HURAY 122,F
BEYSIM 422,YAMAK 4149,ELVAN 4456,MIHRINAZ 786,M
REIS 1522,DURNA 8114,KORCAN 290,TURKIYE 2327,M
EBEDIN 466,TOKSOY 4399,ZEKAI 6446,SEDEN 872,M
GULSEDA 147,ALTIKARDES 647,MUHARREM 68950,FIRDEVS 24403,F
MUNUP 142,NACAK 2171,VEYIS 3259,SERFE 287,M
OZAL 1266,MALKOC 7334,NATIK 268,ALTIN 2002,M
AKGUL 5189,TUGRAL 1395,TANSEL 2112,MELEHA 156,F
SERIBAN 656,SAGCAN 1008,USTUN 1352,MELAHAT 52431,F
FATIH 180108,KURT 161864,ASIL 1100,YASEMIN 148894,M
DEREN 231,CIMSIT 759,SELAMI 28256,SELMAN 997,F
TEYBET 203,NALBAT 725,FURKAN 7157,FIRUZE 726,F
CINDI 643,KUCUKOGLU 5269,VEYSI 18350,GULSADE 1148,M
NUSRET 812,GOMEC 1057,OGUN 2602,GUGERCIN 106,F
YUNIS 6023,ATASOY 14773,HACIM 460,FATOS 7623,M
IBRAHIM 500361,YILDIRIM 387087,MUHTAR 1121,ELIF 216264,M
GULBIN 2574,ARCA 1298,SULEYMAN 214209,GURSELEN 139,F
TAKUHI 116,RENDA 586,ARMAGAN 2994,HACER 147168,F
NESIBA 108,CIGERLI 569,AGIT 1513,SEVAL 26888,F
SITDIKA 250,DEMIRBUKEN 781,CELAL 74802,SALTANAT 1178,F
FIRE 108,ERGI 570,CENAP 1561,GULSAH 28195,F
MADLEN 109,ALARCIN 571,ZABIT 1671,NILUFER 31933,F
ULBIYE 317,UGE 842,OZTURK 2846,RESMIGUL 2203,F
KERAMETTIN 1625,KIRMIZI 8340,ERDAN 296,ZAHIRE 2453,M
MUTEBER 4073,OZAK 1366,UYGAR 1613,AZNIF 150,F
KIYASETTIN 2750,CEKIC 10328,KIRKOR 353,ZAIDE 3548,M
YAZGI 177,ARSLANGIRAY 686,DOGUKAN 2526,LINDA 536,F
SELVARE 252,MULDUR 784,EMRE 83770,VIJDAN 1201,F
OZENC 222,KARINCA 747,SERDAL 16617,NIRGUL 888,F
TEOMAN 3363,KARAOGLAN 11422,OKYAY 385,BEYZA 4344,M
CAGRI 8679,CAVUS 17663,ABDURAHIM 514,AYSER 10478,M
HANDAN 23038,TOGAY 1581,ERMAN 7416,SUVEYBE 186,F
SIMSEK 302,KALAYCIOGLU 3373,REHA 1715,GURSEN 577,M
ZEKERYE 125,KADER 2005,REHA 1715,GULENDEN 256,M
IPEK 246,EYUPOGLU 2989,BULENT 98596,KEZIK 467,M
YAZGUL 4248,ERTURAN 1374,SONMEZ 1724,CANNUR 151,F
MERYEMA 489,TUTUN 951,ALPER 30006,ULVIYE 11860,F
GULEN 5778,KOVANCI 1415,RIFKI 2398,AYBER 158,F
RUFIYE 349,KUTUKOGLU 868,MAKSUT 4196,NUKET 2966,F
ARKAN 175,TURKERI 2462,DURDU 8449,SAMIRA 339,M
ULKUHAN 229,ALICIOGLU 755,NAZMI 24276,ERDEM 958,F
YAVUZHAN 199,OZAL 2664,RESIT 18897,BOSTAN 383,M
AYDENIZ 241,KUCUKSARI 771,FIKRET 49488,VECIDE 1106,F
HEVES 840,TAYAR 1063,TALHA 2861,FERIKA 107,F
BENAZIR 376,ALINCA 888,SERHAN 6422,SAHINDE 3903,F
MUSFIK 157,SADIKOGLU 2298,FERAT 4814,BEYBUN 310,M
FERAH 357,OZGENC 3713,BIRCAN 2863,GULCEHRE 678,M
IDI 580,MESCI 985,YASAR 161295,HUSNIYE 26610,F
MIRYEM 217,KARAATLI 742,OZER 13339,NECIFE 842,F
MUKREMIN 3451,UCAK 11522,TAKI 389,NETICE 4450,M
DANYAL 529,VAR 4768,SAFFET 9321,SEZA 973,M
SADISE 167,AKBOLAT 673,KUDDUSI 1688,NAZGUL 477,F
SEMIHAT 391,KURTBAS 897,ABDULVAHAP 7884,SELEN 4405,F
ABDULLAH 202200,KARA 170396,GUREL 1098,DILEK 149859,M
HUNKAR 578,SELEK 4958,SENER 12313,AKLIME 1038,M
NORI 100,MATUR 1748,UMUT 29199,BALAHANIM 209,M
SAMAHAT 130,CAPKUR 616,TUFAN 10152,REYHAN 45899,F
YASAR 161302,OZCAN 147531,FEDAYI 1081,LEYLA 137460,M
BERIKA 239,EVLICE 769,ENVER 42727,DURDIYE 1078,F
EBAZER 207,HASDEMIR 2726,CAHIT 25196,ALTINAY 397,M
GULSEREF 231,TORU 759,NECMETTIN 28209,SERAYI 996,F
BORA 8193,AKCAN 17200,HACIBEY 508,VASFIYE 9970,M
SABIR 740,SUNA 5587,COSKUN 28663,SEMSIYE 1249,M
SERHAN 517,OLCA 963,REMZI 47503,NEFISE 15663,F
ILAMI 114,ATACAN 1918,HALILIBRAHIM 1243,SERDAL 238,M
NEVZER 353,KATIPOGLU 871,ELVAN 4456,NIHAYET 3132,F
GULYA 252,GOGER 784,AYDIN 84877,INCILAY 1205,F
ABDULHAKIM 4311,YURDAKUL 12915,METHI 422,MENEVSE 5709,M
SEMANUR 2854,TIKEN 1313,ZULKIF 1184,FERICAN 141,F
HUDA 647,SOGUKPINAR 1005,HAFIZ 1337,CENNET 48288,F
NIZAR 103,GURAY 1785,IDRIS 39862,TAHIDE 216,M
HIZRET 180,CIV 692,HAMI 2870,SENAL 560,F
GOKSENIN 164,SULUK 2360,NEJAT 5804,BILGINUR 318,M
CINAR 1536,KOKMEN 1203,REFIK 17575,FATIMATUZZEHRA 125,F
BILSEL 117,SINCER 590,UMMET 3309,HICRAN 10904,F
RISKIYE 168,SARIBUGA 675,BERKANT 1790,NURSAL 486,F
SAHISMAIL 1057,SUTCU 6678,KADIR 138257,IDIL 1645,M
ZEHURE 216,ADSAN 739,CAGLAR 12009,DILSA 826,F
DURRI 428,SAFRAN 918,UZEYIR 12338,EMIS 6313,F
HUSRAN 218,SARPDAG 744,CAVIT 14509,KEVI 854,F
UNSAL 382,YALDIR 893,ISLAM 6864,SIRMA 4121,F
BARISCAN 164,ELGUN 2366,ABDI 6017,SELFIRAZ 320,M
FERZI 168,KARAOSMANOGLU 2386,FAZIL 6567,RUCHAN 325,M
VESILE 25264,GUNDES 1589,OMUR 8198,GUNNAR 187,F
ALIM 7743,CIFCI 16647,FATIN 500,HUSNA 9581,M
SAPRI 125,TURKELI 2011,TUNAHAN 1762,ZAHIR 257,M
RUHIDE 139,CAPAT 632,NEDIM 24935,SUKRUYE 12259,F
CERRAH 110,ONALAN 1881,YUSUF 252189,MARIYA 230,M
EHSAN 180,SERDAROGLU 2506,BEYTULLAH 10221,HAMI 350,M
HAVAGUL 638,EYIDOGAN 1003,ILTER 1301,SEBAHAT 45506,F
PEHLIVAN 304,YAY 3402,ALAITTIN 1819,NEFIDE 585,M
GULAYET 108,GOLOGLU 570,SEMSEDDIN 1556,SUHEYLA 27968,F
SEHABETTIN 437,PERCIN 4253,GURAY 5085,ATRA 816,M
EMIRALI 186,ASICI 2547,MUCAHIT 12164,SELAY 358,M
RAMAZAN 286393,DOGAN 281282,HUSREV 1109,SERIFE 164458,M
TAHA 3807,TEMUR 12069,MIHRAC 399,UMMUGUL 5041,M
SELVE 212,CINDEMIR 735,CELIL 10677,SEREFNAZ 794,F
HASAN 575192,YILDIZ 391633,ALPTEKIN 1124,MERYEM 218989,M
GULSEVIL 614,AYTEK 995,FERDA 1208,YELIZ 37232,F
SUHAM 347,GOKSUN 867,ATALAY 4066,GULFIYE 2908,F
SEFER 144,SARITOPRAK 641,EYUP 42676,GULDEN 18117,F
MUSTAFA 991404,DEMIR 463849,HULKI 1130,EMINE 787295,M
SAHIZAR 970,GURELI 1098,NAIF 3985,CANIBE 111,F
SEBAHI 124,FIRINCIOGULLARI 603,VAHDETTIN 5561,AYSEN 20779,F
OZDAL 535,AKMESE 4789,IZZETTIN 9724,GULDENIZ 978,M
RUKIYYE 103,GERMEN 555,HASAN 575189,EZGI 13480,F
YEMLIHA 111,CIFTLIK 575,GENCAY 1954,MINE 41674,F
BENHUR 195,BAYTEKIN 2636,ALAATTIN 17069,SETENAY 377,M
FAZIL 6567,ASIK 15306,NEYTULLAH 472,BIRSEL 8312,M
MEYREMA 308,CAKALLI 834,MAHFUZ 2447,TUNA 2014,F
SEZGI 599,BEKTES 991,ZEYNETTIN 1155,FAHRIYE 31788,F
KAZIBE 220,HUZMELI 746,NADIR 15758,SEDIYE 872,F
GULEREN 383,TEKKANAT 894,GURCAN 7042,FERIHAN 4204,F
HANIF 249,KURTARAN 3007,YASAR 161295,KIVILCIM 473,M
NESILE 125,OZTOSUN 606,MUNIR 6426,SEVILAY 26039,F
MULAYIM 247,KAPTI 778,MEVLUT 65118,FEDILE 1154,F
ABDUSSEMET 422,AKHAN 4155,ALPAY 4456,YUDUM 787,M
BAHTINUR 555,DUZCE 973,DURSUN 74131,LATIFE 20083,F
SEKVAN 374,BAYKUS 3812,SADRETTIN 3143,HURUYE 701,M
FERAMUZ 1564,BAKAR 8253,MOLLA 292,GAZALI 2387,M
EVLIYA 401,COMAK 4044,ERSEN 3963,ARZIYE 757,M
SEHDIYE 135,ZORBAZ 626,HASIM 15887,NURAY 92828,F
KIYASI 121,DALKIC 1970,SAKIP 1437,FERAHDIBA 247,M
NEBIHE 1446,KIRTAS 1193,AVNI 14873,NEZAAT 124,F
YASIME 507,BIYIKLIOGLU 959,IDRIS 39862,MURVET 14275,F
NURFER 228,TOMAKIN 755,TAYFUN 22891,HURMUS 951,F
ABIDDIN 291,ALTINKAYNAK 3316,REYHAN 1567,REBIA 563,M
ALI 1026738,KAYA 490845,ALIOSMAN 1137,AYSE 969979,M
SIHMUS 612,EREL 5153,NADIR 15758,HACI 1100,M
MUAMER 163,ULUPINAR 2352,ALPARSLAN 5632,TALIN 318,M
NESMIYE 306,SAZAN 832,IDIRIS 2318,GULCEMAL 1980,F
NASIHAT 401,IGDIR 903,NEBI 9121,OZGUR 5121,F
ZUMBUL 770,CANCI 1042,SIDIK 2177,DILNEVAZ 104,F
SABUHA 221,BELIK 746,HASIM 15887,YASA 873,F
BEDROS 135,SARMAN 2123,MEHDI 2728,ELIFHAN 275,M
NURE 2037,EKMEKCIOGLU 1264,BARIS 50032,GAZI 133,F
ENBIYA 126,PIRBUDAK 609,ENIS 7195,DEMET 30195,F
TACIM 375,BIBER 3822,SIRAC 3175,GULUM 703,M
SADUMAN 5641,BAGLAR 1413,ALKAN 2300,AYSON 157,F
UMMET 3309,ALTAS 11307,NAMET 382,YAZGUL 4248,M
ERZAN 104,KARAC 559,MIRZE 1213,TUGCE 15995,F
SEVGIHAN 183,TUREGUN 696,KIVANC 3048,NAZENGUL 574,F
SUAD 132,CALIKOGLU 2086,KURBAN 2352,ELFIYE 270,M
LIZA 106,TOKSUN 566,BILGE 1360,MUSERREF 20374,F
MUTALLIP 160,BOZOGLAN 2333,ERCUMENT 5317,TUCE 315,M
SELBIYE 138,KUMBUL 631,SEZGIN 20987,NILAY 10751,F
NIHAR 124,TOKATLIOGLU 604,ERSOY 5624,SULE 22209,F
ALBERT 237,KIROGLU 2925,ADNAN 67491,FAHIRE 451,M
SULHI 230,DELIKTAS 2855,TURAN 50395,IMOS 435,M
ATIYA 225,BACI 752,SEZAI 19389,EZINE 926,F
TEFIK 1346,KOYLU 7543,BEYZAT 275,MAHBUP 2044,M
HAFIYE 667,TUFENK 1011,ABDULMUTALIP 1391,SULTANPERI 100,F
SEMSEDDIN 1556,ARICAN 8201,GURGUN 291,SELAMET 2384,M
GULCEN 261,TIPI 794,EFRAIM 1146,GULDALI 1299,F
SEVKI 113,YUR 579,ALKAN 2300,RAHIME 61051,F
CEVHER 1518,BAYHAN 8111,TUGBERK 290,DEVRIM 2320,M
BAKI 18334,ALTAY 29194,DURMUSALI 645,HIKMET 20450,M
BEKI 139,AVKAN 633,OKAN 26164,MUKADDER 12956,F
VIKTORYA 213,POTUR 737,SELMAN 10964,AYSEANA 803,F
MEHMETCAN 329,OZBAKIR 3535,ABDULHADI 2235,ATIFET 619,M
KIFAYE 284,AYIN 816,IBIS 1608,AYYUS 1594,F
ZEKARIYA 294,ALTUNOK 3321,DURSUNALI 1612,GULCIMEN 567,M
BAHTISEN 1403,SINER 1188,TURHAN 13325,LAIKE 123,F
OLGU 206,UREN 2716,SAMET 24415,MAVISE 395,M
ABDULALIM 469,SATICI 4407,ONER 6535,MAHIGUL 875,M
PIRAYE 221,ATLAR 746,TALIP 16126,MAHIGUL 875,F
BAHTIYE 462,SOZKESEN 938,HAYATI 19493,MEMNUNE 8988,F
SUMBULE 127,CEBESOY 610,NESET 7508,NILUFER 31933,F
BILSEN 1555,GECIM 1206,BAKI 18334,SEFI 126,F
NESRETTIN 105,KORU 1813,TUNCAY 50391,RABIE 218,M
ALTINAY 397,SAMI 901,CAGRI 8679,FADIMA 4807,F
EFIDE 126,ODER 609,KAMURAN 7255,ELIFE 30380,F
HEBIBE 138,AYTULUN 631,HALIS 23149,RESMIYE 10992,F
NIHAD 181,UGRAS 2512,ERSAN 10449,GILMAN 351,M
ZERIF 1001,GUCLUER 1103,ORCUN 4274,SUHAN 113,F
SAMIHA 337,SEKERCIOGLU 860,NAHIT 3560,BESI 2633,F
KUTSIYE 157,TIKNAZ 660,SERMET 1242,BIRGUL 49126,F
